Restaurant Name,Restaurant ID,Address,Category,Price,Ratings,,,,,,,,,,,
Clinton Hall Seaport,r169,19 Fulton St_New York_ NY 10038_,5,2,3,,,,,,,,,,,
Coarse NYC,r170,306 W 13th St_New York_ NY 10014_,2,3,4.5,,,,,,,,,,,
Coffeemania,r171,1065 Ave Of The Americas_New York_ NY 10018_,2; 4,2,4,,,,,,,,,,,
Colors,r172,178 Stanton St_New York_ NY 10002_,2; 7,2,5,,,,,,,,,,,
Come Prima Ristorante,r173,903 Madison Ave_New York_ NY 10021_,7; 5,3,4.5,,,,,,,,,,,
Community Food & Juice,r174,2893 Broadway_New York_ NY 10025_,2; 4,2,3.5,,,,,,,,,,,
Conmigo,r175,1685 1st Ave_New York_ NY 10128_,11; 5,3,3,,,,,,,,,,,
Cookshop,r176,156 10th Ave_New York_ NY 10011_,2; 4; 5,2,4,,,,,,,,,,,
Coppelia,r177,207 W 14th St_New York_ NY 10011_,17,2,4,,,,,,,,,,,
Cote,r178,16 W 22nd St_New York_ NY 10010_,10,3,3.5,,,,,,,,,,,
Cotenna,r179,21 Bedford St_New York_ NY 10014_,7; 5,2,4,,,,,,,,,,,
Covina,r180,127 E 27th St_New York_ NY 10016_,2; 5,3,4.5,,,,,,,,,,,
Craft,r181,43 E 19th St_New York_ NY 10003_,2,4,4,,,,,,,,,,,
Crave Fishbar,r182,428 Amsterdam Ave_New York_ NY 10024_,3,3,4,,,,,,,,,,,
Crescent Grill,r183,38-40 Crescent St_Long Island City_ NY 11101_,2,2,4.5,,,,,,,,,,,
Crispo,r184,240 W 14th St_New York_ NY 10011_,7,3,4,,,,,,,,,,,
Cuba Restaurant and Rum Bar,r185,222 Thompson St_New York_ NY 10012_,17,2,4,,,,,,,,,,,
Da Claudio,r186,21 Ann St_New York_ NY 10038_,7,2,4.5,,,,,,,,,,,
Daily Provisions,r187,103 E 19th St,2,2,4.5,,,,,,,,,,,
Daniel,r188,60 E 65th St._New York_ NY 10065_,6,4,4.5,,,,,,,,,,,
David Burke Kitchen,r189,23 Grand St_New York_ NY 10013_,2;,3,3.5,,,,,,,,,,,
Davio's Northern Italian Steakhouse,r190,447 Lexington Ave_New York_ NY 10017_,7; 2,3,4,,,,,,,,,,,
Death Ave,r191,315 10th Ave_New York_ NY 10001_,2; 5,2,4,,,,,,,,,,,
Degustation,r192,239 E 5th St_New York_ NY 10003_,2; 19,3,4,,,,,,,,,,,
Del Frisco's Double Eagle Steak House,r193,1221 Ave Of The Americas_New York_ NY 10020_,3,4,4.5,,,,,,,,,,,
Del Frisco's Grille,r194,60 Rockefeller Plz_Ste H_New York_ NY 10020_,2,3,3.5,,,,,,,,,,,
Del Posto,r195,85 10th Ave_New York_ NY 10011_,7,4,4,,,,,,,,,,,
Delilah,r196,155 Rivington St_New York_ NY 10002_,8,2,4,,,,,,,,,,,
dell'anima,r197,38 8th Ave_New York_ NY 10014_,7,3,4,,,,,,,,,,,
Despaña,r198,408 Broome St_New York_ NY 10013_,19,2,4.5,,,,,,,,,,,
Deux Amis,r199,356 E 51st St_New York_ NY 10022_,6,2,4,,,,,,,,,,,
Dig Inn,r200,40 W 55th Street,2,1,4,,,,,,,,,,,
Dig Inn,r201,1297 Lexington Ave_New York_ NY 10128_,2,2,4,,,,,,,,,,,
Dig Inn,r202,2884 Broadway_New York_ NY 10025_,2,2,4,,,,,,,,,,,
Dim Sum Palace,r203,334 W 46th St_New York_ NY 10036_,1,2,4,,,,,,,,,,,
Dinnertable,r204,206 Ave A_New York_ NY 10009_,9; 5,3,4.5,,,,,,,,,,,
Distilled,r205,211 W Broadway_New York_ NY 10013_,2; 4,2,4,,,,,,,,,,,
District Social,r206,252 W 37th St_New York_ NY 10018_,2,2,4,,,,,,,,,,,
District Tap House,r207,246 W 38th St_New York_ NY 10018_,2,2,4,,,,,,,,,,,
Dominique Bistro,r208,14 Christopher St_New York_ NY 10014_,6; 5,2,4,,,,,,,,,,,
